"id_cliente","nome_cliente","idade","endereco"
"1","Carla","50","PR"
"2","Felipe","36","RJ"
"3","Elena","42","DF"
"4","Alice","29","PA"
"5","Alice","44","MA"
"6","Alice","37","AM"
"7","Felipe","49","AC"
"8","Gloria","36","AM"
"9","Hector","41","PE"
"10","Carla","22","MA"
"11","Felipe","27","AM"
"12","David","36","GO"
"13","Alice","25","AP"
"14","Iris","19","PE"
"15","Felipe","30","AP"
"16","João","37","SP"
"17","Felipe","25","RN"
"18","Felipe","29","RS"
"19","Hector","41","MG"
"20","Felipe","49","MG"
"21","Felipe","44","CE"
"22","Carla","39","MS"
"23","Hector","37","PI"
"24","João","38","AC"
"25","Iris","44","PR"
"26","João","23","BA"
"27","João","28","AP"
"28","David","42","AM"
"29","Elena","22","RN"
"30","Alice","30","RS"
"31","Elena","37","PB"
"32","Carla","49","AM"
"33","João","45","MT"
"34","Hector","39","AM"
"35","João","26","MT"
"36","Elena","46","RJ"
"37","Gloria","20","GO"
"38","Hector","35","PR"
"39","João","42","MS"
"40","João","27","PA"
"41","Elena","29","AM"
"42","David","38","PE"
"43","Carla","36","AM"
"44","David","30","RJ"
"45","Hector","18","RJ"
"46","David","20","BA"
"47","Elena","21","AC"
"48","Hector","37","BA"
"49","Alice","34","RJ"
"50","David","39","MG"
"51","Iris","24","PR"
"52","Elena","36","AL"
"53","Alice","39","CE"
"54","Gloria","42","PB"
"55","Alice","36","RJ"
"56","Alice","44","PI"
"57","Elena","21","MG"
"58","David","37","PI"
"59","Hector","44","BA"
"60","Elena","40","GO"
"61","Gloria","41","CE"
"62","Bruno","25","DF"
"63","Hector","42","PR"
"64","Hector","34","SP"
"65","David","24","PR"
"66","David","38","PB"
"67","Iris","21","PB"
"68","Hector","21","RN"
"69","Felipe","23","AL"
"70","David","40","RN"
"71","Iris","18","AM"
"72","David","20","BA"
"73","Hector","43","MG"
"74","Iris","30","MT"
"75","Bruno","18","DF"
"76","Alice","34","DF"
"77","Elena","35","RJ"
"78","David","23","MG"
"79","Alice","23","GO"
"80","Hector","26","MS"
"81","Carla","50","MS"
"82","David","20","AM"
"83","João","32","PI"
"84","Iris","32","SP"
"85","João","39","RN"
"86","Bruno","40","PE"
"87","Felipe","25","MG"
"88","David","38","MG"
"89","João","27","MT"
"90","Iris","29","PE"
"91","Bruno","33","DF"
"92","João","26","MA"
"93","David","27","PB"
"94","Iris","18","AM"
"95","Alice","36","ES"
"96","Elena","43","MA"
"97","Elena","27","MS"
"98","Felipe","40","PB"
"99","Elena","18","MS"
"100","David","35","PI"
"101","Hector","19","RJ"
"102","Elena","18","CE"
"103","Bruno","19","PB"
"104","Carla","23","RN"
"105","Iris","30","RJ"
"106","Gloria","33","PA"
"107","Bruno","39","BA"
"108","Iris","41","PB"
"109","Hector","19","GO"
"110","Iris","23","MT"
"111","Alice","21","RJ"
"112","Bruno","35","SP"
"113","Alice","34","SP"
"114","Felipe","40","MA"
"115","João","39","AP"
"116","Iris","19","MT"
"117","Alice","26","RJ"
"118","David","49","ES"
"119","Carla","23","PI"
"120","Elena","45","SP"
"121","Felipe","18","AM"
"122","Iris","21","RN"
"123","Iris","47","AC"
"124","Bruno","36","AL"
"125","João","33","ES"
"126","Hector","21","MT"
"127","Iris","50","AC"
"128","David","37","MT"
"129","Elena","36","AP"
"130","Carla","24","RS"
"131","Alice","25","MS"
"132","Hector","36","ES"
"133","David","35","CE"
"134","João","22","BA"
"135","Carla","36","PI"
"136","Gloria","24","RN"
"137","Gloria","21","MA"
"138","Carla","21","PI"
"139","Alice","50","AP"
"140","Elena","46","AL"
"141","Iris","46","RJ"
"142","Iris","31","BA"
"143","Carla","33","ES"
"144","Elena","50","RN"
"145","Elena","49","SP"
"146","David","33","AM"
"147","David","29","PA"
"148","Carla","28","RN"
"149","David","23","RS"
"150","Elena","40","RS"
"151","Carla","28","AP"
"152","Felipe","19","PR"
"153","Iris","33","GO"
"154","Bruno","30","AM"
"155","David","23","PA"
"156","Alice","33","BA"
"157","Iris","23","RN"
"158","Gloria","42","RS"
"159","Bruno","46","PI"
"160","Bruno","40","PB"
"161","Iris","36","AP"
"162","Iris","18","GO"
"163","Hector","20","AL"
"164","David","49","AL"
"165","Iris","35","PA"
"166","Carla","29","RS"
"167","Gloria","40","PR"
"168","Iris","48","MT"
"169","David","47","PA"
"170","Elena","35","PA"
"171","Bruno","39","AL"
"172","João","31","AP"
"173","Gloria","32","RS"
"174","David","29","ES"
"175","Iris","18","MS"
"176","Felipe","21","PA"
"177","Iris","47","DF"
"178","João","30","RN"
"179","David","31","BA"
"180","Iris","43","AL"
"181","Elena","43","MG"
"182","David","49","RN"
"183","Alice","19","RN"
"184","Carla","31","MG"
"185","Iris","26","RN"
"186","Iris","31","PA"
"187","Elena","27","AC"
"188","Elena","35","BA"
"189","Alice","28","PR"
"190","Carla","31","AC"
"191","Elena","37","SP"
"192","David","45","MS"
"193","Hector","28","AL"
"194","Felipe","27","MG"
"195","Bruno","36","DF"
"196","Alice","26","PI"
"197","Iris","37","PA"
"198","Elena","38","GO"
"199","Carla","20","MA"
"200","João","27","PR"
"201","Gloria","29","DF"
"202","Elena","35","GO"
